Vegetariana ,Gratinado de grão com espinafres e puré de batata 
Sobremesa ,Gelatina pêssego / Fruta da época 
,Iogurte e pão com chourição ou com creme vegetal ou fruta 
Lanche ,
,Iogurte de soja e pão com creme vegetal ou fruta 
Quarta ,
Sopa ,Abobora 
Prato ,Frango guisado com tagliateli 
Dieta ,Frango cozido com tagliateli 
Salada/legumes ,"Cenoura, milho e pepino "
Vegetariana ,Lentilhas guisadas com legumes (cenoura e cogumelos) e tagliateli 
Sobremesa ,Fruta da época 
,Sumo ou Leite simples e pão com queijo ou creme vegetal ou fruta 
Lanche ,
,Sumo ou leite de soja e pão com creme vegetal ou fruta 
Quinta ,
Sopa ,Alho francês 
Prato ,Pescada gratinada com batata assada 
Dieta ,Pescada cozida com batata e cenoura cozida 
Salada/legumes ,Salada alface e tomate 
Vegetariana ,Quinoa com legumes salteados e ervilhas 
Sobremesa ,Fruta da época 
Lanche ,Iogurte e pão com fiambre de peru ou creme vegetal ou fruta 
,Iogurte de soja e pão com creme vegetal ou fruta 
Sexta ,
Sopa ,Creme de cenoura com lombarda 
Prato ,Chili com arroz branco (feijão preto e carne picada) 
Dieta ,Bife de peru grelhado c/ esparguete 
Salada/legumes ,"Milho, beterraba e cenoura "
Vegetariana ,“Chili” de feijão preto com arroz branco 
Sobremesa ,Fruta da época 
,Leite simples e pão com tulicreme ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com tulicreme ou creme vegetal ou fruta 
Ementa elaborada de acordo com a Circular Nº 3/DSEEAS/DGE/2013 ”Orientações sobre ementas e refeitórios escolares“ ,
Publicada em 11/09/2019 ,
,EXTERNATO CHAMPAGNAT 
,Semana de 16 a 20 de setembro 
Segunda ,
Sopa ,Creme de lentilhas 
Prato ,Strogonoff de Perú com arroz branco 
Dieta ,Frango cozido c/ arroz branco 
Salada/legumes ,Feijão-verde 
Vegetariana ,Estufado de feijão vermelho com legumes (feijão verde e cenoura) com arroz 
Sobremesa ,Fruta da época 
,Leite c/ chocolate ou simples e pão com fiambre ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com creme vegetal ou fruta 
Terça ,
Sopa ,Creme de Cenoura com couve-flor 
Prato ,Massada de salmão com delícias do mar 
Dieta ,Salmão grelhado c/ batata cozida 
Salada/legumes ,Espinafres Salteados 
Vegetariana ,Massada de lentilhas com espinafres 
Sobremesa ,Arroz doce / Fruta da época 
,Iogurte e pão com chourição ou com creme vegetal ou fruta 
Lanche ,
,Iogurte de soja e pão com creme vegetal ou fruta 
Quarta ,
Sopa ,Creme de nabo e abóbora 
Prato ,Carne de porco à portuguesa c/ arroz de grelos 
Dieta ,Bife frango grelhado com arroz 
Salada/legumes ,Salada de alface e tomate 
Vegetariana ,Legumes salteados com arroz de ervilhas 
Sobremesa ,Fruta da época 
,Sumo ou Leite simples e pão com queijo ou creme vegetal ou fruta 
Lanche ,
,Sumo ou leite de soja e pão com creme vegetal ou fruta 
Quinta ,
Sopa ,Sopa de espinafres 
Prato ,"Rissóis de pescada com salada de batata, ervilha e cenoura "
Dieta ,Maruca cozida c/ batata 
Salada/legumes ,Salada de Alface 
Vegetariana ,"Seitan panado no forno com salada de batata, milho e cenoura "
Sobremesa ,Fruta da época 
Lanche ,Iogurte e pão com fiambre de peru ou creme vegetal ou fruta 
,Iogurte de soja e pão com creme vegetal ou fruta 
Sexta ,
Sopa ,Juliana de legumes 
Prato ,Esparguete à bolonhesa 
Dieta ,Hambúrguer grelhado c/ esparguete 
Salada/legumes ,"Salada de tomate,pepino e milho "
Vegetariana ,Bolonhesa de feijão preto com esparguete 
Sobremesa ,Fruta da época 
,Leite simples e pão com compota ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com compota ou creme vegetal ou fruta 
Ementa elaborada de acordo com a Circular Nº 3/DSEEAS/DGE/2013 ”Orientações sobre ementas e refeitórios escolares“ ,
Publicada em 11/09/2019 ,
,EXTERNATO CHAMPAGNAT 
,Semana de 23 a 27 de setembro 
Segunda ,
Sopa ,Canja/Sopa de abobora com massinhas 
Prato ,Frango assado com arroz alegre (cenoura e milho) 
Dieta ,Frango cozido c/ arroz 
Salada/legumes ,Salada alface/tomate 
Vegetariana ,Ervilhas estufadas com arroz alegre 
Sobremesa ,Fruta da época 
,Leite c/ chocolate ou simples e pão com fiambre ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com creme vegetal ou fruta 
Terça ,
Sopa ,Courgette 
Prato ,"Meia desfeita de bacalhau (batata, grão, ovo cozido) "
Dieta ,Filetes de pescada grelhados c/ arroz 
Salada/legumes ,Cenoura cozida 
Vegetariana ,"Salada de grão, batata e curgete "
Sobremesa ,Fruta da época 
,Iogurte e pão com chourição ou com creme vegetal ou fruta 
Lanche ,
,Iogurte de soja e pão com creme vegetal ou fruta 
Quarta ,
Sopa ,Creme de alho francês 
Prato ,Rolo de carne (misto) com massa laços 
Dieta ,Bife de peru grelhados com massa laços 
Salada/legumes ,Salada de couve e milho 
Vegetariana ,Couscous de legumes com ervilha 
Sobremesa ,Fruta da época 
,Sumo ou Leite simples e pão com queijo ou creme vegetal ou fruta 
Lanche ,Sumo ou leite de soja e pão com creme vegetal ou fruta 
Quinta ,
Sopa ,Creme de cenoura com ervilhas 
Prato ,Douradinhos no forno com arroz de tomate 
Dieta ,Pescada cozida c/ batata 
Salada/legumes ,Salada alface/cenoura 
Vegetariana ,Falafel (bolinho de grão frito com ervas aromáticas) com arroz de tomate 
Sobremesa ,Gelatina Laranja/ Fruta da época 
Lanche ,Iogurte e pão com fiambre de peru ou creme vegetal ou fruta 
,Iogurte de soja e pão com creme vegetal ou fruta 
Sexta ,
Sopa ,Sopa de agrião 
Prato ,Lasanha de novilho 
Dieta ,Hambúrguer grelhado com esparguete 
Salada/legumes ,Salada alface e milho e cenoura 
Vegetariana ,"Feijão vermelho estufado com brócolos, cenouras e esparguete "
Sobremesa ,Fruta da época 
,Leite simples e pão com tulicreme ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com tulicreme ou creme vegetal ou fruta 
Ementa elaborada de acordo com a Circular Nº 3/DSEEAS/DGE/2013 ”Orientações sobre ementas e refeitórios escolares“ ,
Publicada em 11/09/2019 ,
,EXTERNATO CHAMPAGNAT 
,Semana de 30 de setembro a 4 de outubro 
Segunda ,
Sopa ,Abóbora com feijão-verde 
Prato ,Bifinhos de peru com cogumelos e salada de cuscuz com pimento 
Dieta ,Bife peru grelhados com massa laços 
Salada/legumes ,Alface e tomate 
Vegetariana ,Cuscuz com estufado de feijão e legumes 
Sobremesa ,Fruta da época 
,Leite c/ chocolate ou simples e pão com fiambre ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com creme vegetal ou fruta 
Terça ,
Sopa ,Creme de alface 
Prato ,Salmão assado c/ batata-doce assada 
Dieta ,Salmão grelhado c/ batata cozida 
Salada/legumes ,Legumes estufados 
Vegetariana ,Batata-doce assada com grão e legumes (curgete e cenoura) 
Sobremesa ,Mousse de chocolate / Fruta da época 
,Iogurte e pão com chourição ou com creme vegetal ou fruta 
Lanche ,
,Iogurte de soja e pão com creme vegetal ou fruta 
Quarta ,
Sopa ,Lombarda com feijão 
Prato ,Arroz de carnes (vaca e porco) com chouriço 
Dieta ,Carne de vaca cozida com arroz branco 
Salada/legumes ,Salada tomate e milho 
Vegetariana ,Quinoa com legumes com seitan salteado 
Sobremesa ,Fruta da época 
,Sumo ou Leite simples e pão com queijo ou creme vegetal ou fruta 
Lanche ,
,Sumo ou leite de soja e pão com creme vegetal ou fruta 
Quinta ,
Sopa ,Creme de cenoura 
Prato ,"Salada russa de atum (batata, ervilhas, cenoura e ovo cozido) "
Dieta ,Maruca cozida com batata e cenoura cozida 
Salada/legumes ,Alface e cenoura ralada 
Vegetariana ,Pastéis de feijão e batata com arroz branco 
Sobremesa ,Fruta da época 
Lanche ,Iogurte e pão com fiambre de peru ou creme vegetal ou fruta 
,Iogurte de soja e pão com creme vegetal ou fruta 
Sexta ,
Sopa ,Brócolos 
Prato ,Febras de cebolada com esparguete 
Dieta ,Bifes de frango grelhados com esparguete 
Salada/legumes ,Salada de cenoura e beterraba 
Vegetariana ,"Paella vegetariana (arroz, ervilhas, tomate, brócolos) "
Sobremesa ,Fruta da época 
,Leite simples e pão com compota ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com compota ou creme vegetal ou fruta 
Ementa elaborada de acordo com a Circular Nº 3/DSEEAS/DGE/2013 ”Orientações sobre ementas e refeitórios escolares“ ,
Publicada em 11/09/2019 ,
,EXTERNATO CHAMPAGNAT 
,Semana de 7 a 11 de outubro 
Segunda ,
Sopa ,Agrião 
Prato ,Hambúrguer aves c/ fusilli tricolor 
Dieta ,Hambúrguer aves grelhado c/ fusilli tricolor 
Salada/legumes ,Salada alface 
Vegetariana ,Hambúrguer de batata e feijão com fusili tricolor 
Sobremesa ,Fruta da época 
,Leite c/ chocolate ou simples e pão com fiambre ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com creme vegetal ou fruta 
Terça ,
Sopa ,Lentilhas 
Prato ,"Pescada à portuguesa com salada de batata (batata, feijão verde e cenoura) "
Dieta ,Pescada cozida c/ batata 
Salada/legumes ,Salada tomate 
Vegetariana ,Açorda de soja com tomate e cenoura 
Sobremesa ,Gelatina Morango/ Fruta da época 
,Iogurte e pão com chourição ou com creme vegetal ou fruta 
Lanche ,
,Iogurte de soja e pão com creme vegetal ou fruta 
Quarta ,
Sopa ,Creme de couve-flor 
Prato ,Bifes de frango estufados com esparguete 
Dieta ,Bifes de frango grelhados com esparguete 
Salada/legumes ,Alface e tomate 
Vegetariana ,Arroz de cogumelos e couve-flor com feijão preto 
Sobremesa ,Fruta da época 
,Sumo ou Leite simples e pão com queijo ou creme vegetal ou fruta 
Lanche ,
,Sumo ou leite de soja e pão com creme vegetal ou fruta 
Quinta ,
Sopa ,Feijão-verde 
Prato ,Pastéis de bacalhau com arroz de tomate 
Dieta ,Bacalhau cozido c/ batata 
Salada/legumes ,Salada de alface e tomate 
Vegetariana ,"Salada de grão, batata, feijão-verde e cenoura "
Sobremesa ,Fruta da época 
Lanche ,Iogurte e pão com fiambre de peru ou creme vegetal ou fruta 
,Iogurte de soja e pão com creme vegetal ou fruta 
Sexta ,
Sopa ,Juliana 
Prato ,"Jardineira de vaca (batata, ervilha e cenoura) "
Dieta ,Carne de vaca cozida com batata 
Salada/legumes ,Couve bruxelas 
Vegetariana ,"Jardineira de ervilhas com batata, cenoura e tomate "
Sobremesa ,Fruta da época 
,Leite simples e pão com tulicreme ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com tulicreme ou creme vegetal ou fruta 
Ementa elaborada de acordo com a Circular Nº 3/DSEEAS/DGE/2013 ”Orientações sobre ementas e refeitórios escolares“ ,
Publicada em 11/09/2019 ,
,EXTERNATO CHAMPAGNAT 
,Semana de 14 a 18 de outubro 
Segunda ,
Sopa ,Abobora e ervilhas 
Prato ,Vitela estufada c/ Batatas fritas 
Dieta ,Bife peru grelhado c/ esparguete 
Salada/legumes ,Salada alface/tomate 
Vegetariana ,Esparguete de seitan com cogumelos 
Sobremesa ,Fruta da época 
,Leite c/ chocolate ou simples e pão com fiambre ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com creme vegetal ou fruta 
Terça ,
Sopa ,Creme de Nabo com courgete 
Prato ,Lasanha de atum 
Dieta ,Maruca cozida c/ puré de batata 
Salada/legumes ,Cenoura e feijão-verde 
Vegetariana ,Salada de grão com legumes 
Sobremesa ,Fruta da época 
,Iogurte e pão com chourição ou com creme vegetal ou fruta 
Lanche ,
,Iogurte de soja e pão com creme vegetal ou fruta 
Quarta ,
Sopa ,Creme Alho francês 
Prato ,Costeletas de porco com feijão preto e arroz branco 
Dieta ,Bife de frango grelhados com arroz branco 
Salada/legumes ,Alface e milho 
Vegetariana ,Feijão preto estufado com espinafres e arroz branco 
Sobremesa ,Fruta da época 
,Sumo ou Leite simples e pão com queijo ou creme vegetal ou fruta 
Lanche ,
,Sumo ou leite de soja e pão com creme vegetal ou fruta 
Quinta ,
Sopa ,Sopa de couve-flor 
Prato ,Filete de Perca estufada com molho de tomate e puré de batata 
Dieta ,Pescada cozida c/ cenoura e batata 
Salada/legumes ,"Espinafres, cenoura e cogumelos "
Vegetariana ,Couscous de legumes com tofu 
Sobremesa ,Mousse de morango / Fruta da época 
Lanche ,Iogurte e pão com fiambre de peru ou creme vegetal ou fruta 
Sexta ,Iogurte de soja e pão com creme vegetal ou fruta 
Sopa ,Creme cenoura com coentros 
Prato ,Arroz de pato com cenoura 
Dieta ,Frango cozido c/ arroz 
Salada/legumes ,Salada de alface e milho 
Vegetariana ,Guisadinho de ervilhas e cogumelos com arroz de cenoura 
Sobremesa ,Fruta da época 
,Leite simples e pão com compota ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com compota ou creme vegetal ou fruta 
Ementa elaborada de acordo com a Circular Nº 3/DSEEAS/DGE/2013 ”Orientações sobre ementas e refeitórios escolares“ ,
Publicada em 11/09/2019 ,
,EXTERNATO CHAMPAGNAT 
,Semana de 21 a 25 de outubro 
Segunda ,
Sopa ,Alho alface 
Prato ,Peru estufado com ervilhas c/ arroz 
Dieta ,Bife peru grelhado c/ arroz 
Salada/legumes ,Salada de tomate e pepino 
Vegetariana ,"Estufado de legumes (alho francês, feijão manteiga, curgete) com arroz árabe "
Sobremesa ,Fruta da época 
,Leite c/ chocolate ou simples e pão com fiambre ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com creme vegetal ou fruta 
Terça ,
Sopa ,Creme legumes com repolho 
Prato ,Bacalhau à Gomes de Sá (com ovo) 
Dieta ,Bacalhau cozido c/ batata 
Salada/legumes ,Espinafres 
Vegetariana ,"Salada de grão com batata, brócolos e broa "
Sobremesa ,Gelatina pêssego/ Fruta da época 
,Iogurte e pão com chourição ou com creme vegetal ou fruta 
Lanche ,
,Iogurte de soja e pão com creme vegetal ou fruta 
Quarta ,
Sopa ,Nabiças 
Prato ,Macarrão com bolonhesa gratinado 
Dieta ,Vaca cozida c/ macarrão 
Salada/legumes ,Salada alface 
Vegetariana ,Hambúrguer de cogumelos com macarrão 
Sobremesa ,Fruta da época 
,Sumo ou Leite simples e pão com queijo ou creme vegetal ou fruta 
Lanche ,
,Sumo ou leite de soja e pão com creme vegetal ou fruta 
Quinta ,
Sopa ,Feijão com espinafres 
Prato ,Filete Salmão assado com batata 
Dieta ,Salmão grelhado c/ batata 
Salada/legumes ,Legumes salteados 
Vegetariana ,Legumes salteados com tofú e batata 
Sobremesa ,Fruta da época 
Lanche ,Iogurte e pão com fiambre de peru ou creme vegetal ou fruta 
,Iogurte de soja e pão com creme vegetal ou fruta 
Sexta ,
Sopa ,Creme de cenoura 
Prato ,Frango de tomatada com fusili tricolor 
Dieta ,Frango cozido c/ batata cozida 
Salada/legumes ,Salada cenoura e milho 
Vegetariana ,Lentilhas de tomatada com fusili tricolor 
Sobremesa ,Fruta da época 
,Leite simples e pão com tulicreme ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com tulicreme ou creme vegetal ou fruta 
Ementa elaborada de acordo com a Circular Nº 3/DSEEAS/DGE/2013 ”Orientações sobre ementas e refeitórios escolares“ ,
Publicada em 11/09/2019 ,
,EXTERNATO CHAMPAGNAT 
,Semana de 28 a 31 de outubro 
Segunda ,
Sopa ,Lentilhas 
Prato ,Almondegas vaca estufadas c/ esparguete 
Dieta ,Hambúrguer grelhado c/ esparguete 
Salada/legumes ,Cenoura e milho 
Vegetariana ,Almondegas de soja estufadas com esparguete 
Sobremesa ,Fruta da época 
,Leite c/ chocolate ou simples e pão com fiambre ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com creme vegetal ou fruta 
Terça ,
Sopa ,Espinafres 
Prato ,Tiras de choco estufado com arroz branco 
Dieta ,Abrótea cozida c/ batata 
Salada/legumes ,Couve e cenoura 
Vegetariana ,"Legumes assados no forno (cenoura, curgete, batata) com feijão vermelho "
Sobremesa ,Leite-creme / Fruta da época 
,Iogurte e pão com chourição ou com creme vegetal ou fruta 
Lanche ,
,Iogurte de soja e pão com creme vegetal ou fruta 
Quarta ,
Sopa ,Canja galinha / creme de legumes com massinhas 
Prato ,"Panadinhos de frango fritos c/ arroz de alegre (milho, cenoura, ervilha) "
Dieta ,Frango grelhado c/ arroz 
Salada/legumes ,Alface e beterraba 
Vegetariana ,Pataniscas de batata e grão fritas com arroz 
Sobremesa ,Fruta da época 
,Sumo ou Leite simples e pão com queijo ou creme vegetal ou fruta 
Lanche ,
,Sumo ou leite de soja e pão com creme vegetal ou fruta 
Quinta ,
Sopa ,Creme abóbora 
Prato ,Massinha de perca com delícias do mar 
Dieta ,Pescada cozida c/ batata e cenoura 
Salada/legumes ,Brócolos e couve-flor 
Vegetariana ,Massinha de lentilhas com tomate e abóbora 
Sobremesa ,Fruta da época 
Lanche ,Iogurte e pão com fiambre de peru ou creme vegetal ou fruta 
,Iogurte de soja e pão com creme vegetal ou fruta 
Sexta ,
Sopa ,
Prato ,
Dieta ,
Salada/legumes ,
,FERIADO 
Vegetariana ,
Sobremesa ,
Lanche ,
Ementa elaborada de acordo com a Circular Nº 3/DSEEAS/DGE/2013 ”Orientações sobre ementas e refeitórios escolares“ ,
Publicada em 11/09/2019 ,
,EXTERNATO CHAMPAGNAT
,Semana de 4 a 8 de novembro 
Segunda ,
Sopa ,Creme de Agrião 
Prato ,"Bifinhos de peru com macarrão, cenoura e milho "
Dieta ,Bifes de peru grelhados c/ macarrão 
Salada/legumes ,Cogumelos estufados 
Vegetariana ,"Guisadinho de grão com macarrão, cenoura e milho "
Sobremesa ,Fruta da época 
,Leite c/ chocolate ou simples e pão com fiambre ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com creme vegetal ou fruta 
Terça ,
Sopa ,Creme de couve-flor 
Prato ,Filetes de pescada no forno com batata doce 
Dieta ,Pescada cozida com batata e cenoura 
Salada/legumes ,Salada alface 
Vegetariana ,Empadão de lentilhas com cenoura 
Sobremesa ,Fruta da época 
,Iogurte e pão com chourição ou com creme vegetal ou fruta 
Lanche ,
,Iogurte de soja e pão com creme vegetal ou fruta 
Quarta ,
Sopa ,Caldo verde 
Prato ,"Arroz à Valenciana (frango, porco e salsicha) "
Dieta ,Bifes de frango grelhados com arroz 
Salada/legumes ,Couve e cenoura 
Vegetariana ,"Valenciana de legumes (arroz, pimento, cenoura, ervilhas, tomate) "
Sobremesa ,Fruta da época 
,Sumo ou Leite simples e pão com queijo ou creme vegetal ou fruta 
Lanche ,
,Sumo ou leite de soja e pão com creme vegetal ou fruta 
Quinta ,
Sopa ,Creme de cenoura 
Prato ,Atum com feijão-frade e ovo cozido 
Dieta ,Abrótea cozida c/ batata 
Salada/legumes ,Salada Tomate e Milho 
Vegetariana ,Salada de feijão-frade com batata e legumes 
Sobremesa ,Gelatina Tutti-Frutti / fruta da época 
Lanche ,Iogurte e pão com fiambre de peru ou creme vegetal ou fruta 
,Iogurte de soja e pão com creme vegetal ou fruta 
Sexta ,
Sopa ,
,Lombardo e grão 
Prato ,
,Empadão de carne com arroz 
Dieta ,
,Carne de vaca cozida com arroz 
Salada/legumes ,
,Alface beterraba e cenoura 
Vegetariana ,
,Hambúrguer de soja com arroz branco 
Sobremesa ,Fruta da época 
,Leite simples e pão com compota ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com compota ou creme vegetal ou fruta 
Ementa elaborada de acordo com a Circular Nº 3/DSEEAS/DGE/2013 ”Orientações sobre ementas e refeitórios escolares“ ,
Publicada em 11/09/2019 ,
,EXTERNATO CHAMPAGNAT
,Semana de 11 a 15 de novembro 
Segunda ,
Sopa ,Creme de cenoura 
Prato ,Peito de peru assado com laranja e arroz de ervilhas 
Dieta ,Bifes de peru grelhados c/ arroz branco 
Salada/legumes ,Cogumelos estufados com cenoura e espinafre 
Vegetariana ,"Legumes assados (cenoura, cogumelos e curgete) com laranja e arroz de ervilhas "
Sobremesa ,Fruta da época 
,Leite c/ chocolate ou simples e pão com fiambre ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com creme vegetal ou fruta 
Terça ,
Sopa ,Juliana 
Prato ,Bolonhesa de atum 
Dieta ,Pescada cozida c/ batata e legumes 
Salada/legumes ,Grelos salteados 
Vegetariana ,"Esparguete com legumes estufados (couve portuguesa, feijão manteiga, cenoura) "
Sobremesa ,Pudim flan / fruta da época 
,Iogurte e pão com chourição ou com creme vegetal ou fruta 
Lanche ,
,Iogurte de soja e pão com creme vegetal ou fruta 
Quarta ,
Sopa ,Caldo verde 
Prato ,Almondegas de aves com puré de batata 
Dieta ,Bifes de frango grelhados com batata cozida 
Salada/legumes ,"Salada de Alface, pepino e milho "
Vegetariana ,Lentilhas estufadas com puré 
Sobremesa ,Fruta da época 
,Sumo ou Leite simples e pão com queijo ou creme vegetal ou fruta 
Lanche ,
,Sumo ou leite de soja e pão com creme vegetal ou fruta 
Quinta ,
Sopa ,Nabiças com grão 
Prato ,Caldeirada de peixe com pimento e tomate 
Dieta ,Pescada cozida com batata cozida 
Salada/legumes ,Salada de alface e pepino 
Vegetariana ,Couscous de legumes com tofu 
Sobremesa ,Fruta da época 
Lanche ,Iogurte e pão com fiambre de peru ou creme vegetal ou fruta 
,Iogurte de soja e pão com creme vegetal ou fruta 
Sexta ,
Sopa ,Creme Alho francês 
Prato ,Croquetes de carne de vaca com arroz branco 
,Bife de frango grelhado com arroz branco 
Dieta ,
,"Salada de alface, cenoura e milho "
Salada/legumes ,"Caldeirada de grão com batata, pimento e tomate "
Vegetariana ,
,Fruta da época 
Sobremesa ,
,Leite simples e pão com compota ou creme vegetal ou fruta 
Lanche ,Leite de soja (ou equivalente) e pão com compota ou creme vegetal ou fruta 
Ementa elaborada de acordo com a Circular Nº 3/DSEEAS/DGE/2013” Orientações sobre ementas e refeitórios escolares “ ,
Publicada em 11/09/2019 ,
,EXTERNATO CHAMPAGNAT
,Semana de 18 a 22 de novembro 
Segunda ,
Sopa ,Creme de ervilhas 
Prato ,Lombo de porco assado com castanhas e arroz de cenoura 
Dieta ,Bife de frango grelhado c/ arroz 
Salada/legumes ,Salada alface e tomate 
Vegetariana ,Soja estufada com castanhas e arroz de cenoura 
Sobremesa ,Fruta da época 
,Leite c/ chocolate ou simples e pão com fiambre ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com creme vegetal ou fruta 
Terça ,
Sopa ,Sopa de feijão verde laminado 
Prato ,Bacalhau com natas (batata cozida) 
Dieta ,Bacalhau cozido com batata e cenoura cozida 
Salada/legumes ,"Alface, cenoura e beterraba "
Vegetariana ,Gratinado de grão com espinafres e puré de batata 
Sobremesa ,Gelatina pêssego / Fruta da época 
,Iogurte e pão com chourição ou com creme vegetal ou fruta 
Lanche ,
,Iogurte de soja e pão com creme vegetal ou fruta 
Quarta ,
Sopa ,Abobora 
Prato ,Frango guisado com tagliateli 
Dieta ,Frango cozido com tagliateli 
Salada/legumes ,"Cenoura, milho e pepino "
Vegetariana ,Lentilhas guisadas com legumes (cenoura e cogumelos) e tagliateli 
Sobremesa ,Fruta da época 
,Sumo ou Leite simples e pão com queijo ou creme vegetal ou fruta 
Lanche ,
,Sumo ou leite de soja e pão com creme vegetal ou fruta 
Quinta ,
Sopa ,Alho francês 
Prato ,Pescada gratinada com batata assada 
Dieta ,Pescada cozida com batata e cenoura cozida 
Salada/legumes ,Salada alface e tomate 
Vegetariana ,Quinoa com legumes salteados e ervilhas 
Sobremesa ,Fruta da época 
Lanche ,Iogurte e pão com fiambre de peru ou creme vegetal ou fruta 
,Iogurte de soja e pão com creme vegetal ou fruta 
Sexta ,
Sopa ,Creme de cenoura com lombarda 
Prato ,Chili com arroz branco (feijão preto e carne picada) 
Dieta ,Bife de peru grelhado c/ esparguete 
Salada/legumes ,"Milho, beterraba e cenoura "
Vegetariana ,“Chili” de feijão preto com arroz branco 
Sobremesa ,Fruta da época 
,Leite simples e pão com tulicreme ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com tulicreme ou creme vegetal ou fruta 
Segunda ,
Ementa elaborada de acordo com a Circular Nº 3/DSEEAS/DGE/2013” Orientações sobre ementas e refeitórios escolares “ ,
Publicada em 11/09/2019 ,
,EXTERNATO CHAMPAGNAT 
,Semana de 25 a 29 de novembro 
Segunda ,
